step,train_loss,train_loss_ma100,val_loss,last_lr
0,0.008268633857369423,0.008268633857369423,,2.0000000000000003e-06
1,0.00687396340072155,0.0075712986290454865,,4.000000000000001e-06
2,0.005719165783375502,0.006953921013822158,,6e-06
3,0.013270280323922634,0.008533010841347277,,8.000000000000001e-06
4,0.016822131350636482,0.010190834943205117,,1e-05
5,0.013099140487611294,0.01067555253393948,,1.2e-05
6,0.004628458525985479,0.009811681961374623,,1.4000000000000001e-05
7,0.017512572929263115,0.010774293332360685,,1.6000000000000003e-05
8,0.017378749325871468,0.011508121776084105,,1.8e-05
9,0.017309794202446938,0.012088289018720388,,2e-05
10,0.015445776283740997,0.012393515133722261,,2.2000000000000003e-05
11,0.00428312923759222,0.011717649642378092,,2.4e-05
12,0.01870492845773697,0.012255132628174929,,2.6000000000000002e-05
13,0.01643449068069458,0.012553658203354903,,2.8000000000000003e-05
14,0.012467543594539165,0.012547917229433854,,3e-05
15,0.012493174523115158,0.012544495810288936,,3.2000000000000005e-05
16,0.021090926602482796,0.013047227033359162,,3.4000000000000007e-05
17,0.007488149683922529,0.012738389402834905,,3.6e-05
18,0.022149279713630676,0.013233699419192578,,3.8e-05
19,0.016161203384399414,0.01338007461745292,,4e-05
20,0.011079808697104454,0.013270538145055374,,4.2e-05
21,0.013125504367053509,0.013263945700600743,,4.4000000000000006e-05
22,0.015353000722825527,0.013354774179827908,,4.600000000000001e-05
23,0.012973872944712639,0.013338903295031438,,4.8e-05
24,0.01584993302822113,0.013439344484359026,,5e-05
25,0.011704027652740479,0.013372601529296774,,5.2000000000000004e-05
26,0.013785392045974731,0.013387890066951513,,5.4000000000000005e-05
27,0.013609427958726883,0.01339580213451492,,5.6000000000000006e-05
28,0.016037123277783394,0.01348688217393797,,5.8e-05
29,0.010778049938380718,0.013396587766086062,,6e-05
30,0.00907482672482729,0.013257176119593842,,6.2e-05
31,0.01966368407011032,0.013457379493047483,,6.400000000000001e-05
32,0.03201034665107727,0.014019590619048386,,6.6e-05
33,0.01803087815642357,0.014137569664265303,,6.800000000000001e-05
34,0.02842068299651146,0.014545658616615192,,7e-05
35,0.016284611076116562,0.014593962851601342,,7.2e-05
36,0.020938877016305923,0.014765447018214979,,7.4e-05
37,0.018488189205527306,0.014863413917881093,,7.6e-05
38,0.021177375689148903,0.015025310373554627,,7.800000000000001e-05
39,0.016524793580174446,0.015062797453720123,,8e-05
40,0.011885366402566433,0.014985299135399302,,8.2e-05
41,0.018905043601989746,0.015078626384603836,,8.4e-05
42,0.02070881612598896,0.015209561029752327,,8.6e-05
43,0.015392126515507698,0.015213710245337676,,8.800000000000001e-05
44,0.023788465186953545,0.015404260355151363,,9e-05
45,0.021488947793841362,0.015536536169035928,,9.200000000000001e-05
46,0.02131500095129013,0.015659482228232824,,9.4e-05
47,0.023385735228657722,0.015820445832408343,,9.6e-05
48,0.01030370406806469,0.015707859265789086,,9.8e-05
49,0.023465804755687714,0.01586301817558706,,0.0001
50,0.03402838110923767,0.016219201762521385,,9.998995075871772e-05
51,0.013022243976593018,0.016157721805099685,,9.997990151743544e-05
52,0.02332662232220173,0.01629298407900727,,9.996985227615315e-05
53,0.022154400125145912,0.016401528820602432,,9.995980303487087e-05
54,0.02303403615951538,0.01652211986312812,,9.994975379358858e-05
55,0.024903368204832077,0.01667178501208712,,9.99397045523063e-05
56,0.010156813077628613,0.016557487258851006,,9.992965531102402e-05
57,0.028758127242326736,0.01676784312063507,,9.991960606974175e-05
58,0.01327991858124733,0.0167087257555607,,9.990955682845946e-05
59,0.017335711047053337,0.01671917551041891,,9.989950758717718e-05
60,0.02403361164033413,0.016839084299433916,,9.98894583458949e-05
61,0.027918079867959023,0.01701777777634561,,9.987940910461261e-05
62,0.03144803270697594,0.017246829441911173,,9.986935986333033e-05
63,0.016098976135253906,0.01722889423399465,,9.985931062204804e-05
64,0.014115382917225361,0.017180994059890507,,9.984926138076576e-05
65,0.018330639228224754,0.01719841292607739,,9.983921213948347e-05
66,0.02067684195935726,0.017250329777320373,,9.982916289820119e-05
67,0.024329151958227158,0.01735443010351018,,9.98191136569189e-05
68,0.04036782309412956,0.01768795753815684,,9.980906441563662e-05
69,0.03310365602374077,0.01790818180223661,,9.979901517435434e-05
70,0.030654694885015488,0.018087710155515184,,9.978896593307205e-05
71,0.015461044386029243,0.018051228686494544,,9.977891669178977e-05
72,0.014672554098069668,0.01800494547295448,,9.976886745050749e-05
73,0.008883793838322163,0.01788168666708107,,9.975881820922522e-05
74,0.04953140392899513,0.018303682897239923,,9.974876896794293e-05
75,0.016902687028050423,0.01828524874106638,,9.973871972666065e-05
