step,train_loss,train_loss_ma100,val_loss,last_lr
0,0.05105789005756378,0.05105789005756378,,4.059479411142471e-14
1,0.05160948634147644,0.05133368819952011,,8.118958822284942e-14
2,0.0818071961402893,0.06149152417977651,,1.2178438233427413e-13
3,0.05429094657301903,0.05969137977808714,,1.6237917644569885e-13
4,0.057118769735097885,0.05917685776948929,,2.0297397055712356e-13
5,0.043188270181417465,0.05651209317147732,,2.4356876466854827e-13
6,0.07391557097434998,0.05899830428617341,,2.84163558779973e-13
7,0.07128842175006866,0.06053456896916032,,3.247583528913977e-13
8,0.06087273731827736,0.06057214323017332,,3.653531470028224e-13
9,0.0764845460653305,0.06216338351368904,,4.059479411142471e-13
10,0.07913002371788025,0.0637058053504337,,4.465427352256718e-13
11,0.052861835807561874,0.06280214122186105,,4.871375293370965e-13
12,0.05525171384215355,0.0622213391157297,,5.277323234485212e-13
13,0.06328398734331131,0.06229724256055696,,5.68327117559946e-13
14,0.0673137754201889,0.06263167808453242,,6.089219116713706e-13
15,0.04945884644985199,0.06180837610736489,,6.495167057827954e-13
16,0.06728046387434006,0.062130263623069316,,6.901114998942202e-13
17,0.07244821637868881,0.06270348322060373,,7.307062940056448e-13
18,0.0654110237956047,0.0628459853561301,,7.713010881170695e-13
19,0.044435951858758926,0.06192548368126154,,8.118958822284942e-13
20,0.04576545208692551,0.061155958367245536,,8.524906763399189e-13
21,0.08089452236890793,0.062053165821866554,,8.930854704513436e-13
22,0.05586426705121994,0.06178408326662105,,9.336802645627684e-13
23,0.062066301703453064,0.06179584236815572,,9.74275058674193e-13
24,0.0387105792760849,0.060872431844472885,,1.0148698527856178e-12
25,0.07024586200714111,0.0612329483891909,,1.0554646468970424e-12
26,0.057379014790058136,0.06109021010774153,,1.0960594410084673e-12
27,0.05434798076748848,0.060849416202732494,,1.136654235119892e-12
28,0.05789649859070778,0.060747591457490265,,1.1772490292313165e-12
29,0.04671526700258255,0.06027984730899334,,1.2178438233427412e-12
30,0.058099277317523956,0.06020950634152659,,1.258438617454166e-12
31,0.04182460904121399,0.05963497830089182,,1.2990334115655908e-12
32,0.0317060649394989,0.05878864759297082,,1.3396282056770155e-12
33,0.05174311622977257,0.058581426082288515,,1.3802229997884403e-12
34,0.04932882636785507,0.05831706609044756,,1.4208177938998648e-12
35,0.05189536139369011,0.05813868540442652,,1.4614125880112895e-12
36,0.044314175844192505,0.057765050010906684,,1.5020073821227142e-12
37,0.034433797001838684,0.05715106966856279,,1.542602176234139e-12
38,0.0462576299905777,0.05687175070246061,,1.5831969703455638e-12
39,0.05348176509141922,0.056787001062184574,,1.6237917644569885e-12
40,0.05259379744529724,0.0566847278032361,,1.664386558568413e-12
41,0.040914855897426605,0.056309254662621586,,1.7049813526798378e-12
42,0.061003122478723526,0.056418414379275125,,1.7455761467912625e-12
43,0.07421514391899109,0.05682288550517776,,1.7861709409026872e-12
44,0.07152850925922394,0.057149677144156565,,1.826765735014112e-12
45,0.06688578426837921,0.057361331646857056,,1.8673605291255368e-12
46,0.07080070674419403,0.057647275797864224,,1.9079553232369615e-12
47,0.0599057674407959,0.057694327707091965,,1.948550117348386e-12
48,0.049586862325668335,0.05752886922992006,,1.989144911459811e-12
49,0.06657254695892334,0.05770974278450012,,2.0297397055712355e-12
50,0.07048442214727402,0.05796022669357412,,2.0293297399672015e-12
51,0.042410481721162796,0.05766119313641237,,2.028919774363168e-12
52,0.052819956094026566,0.05756984904127301,,2.028509808759134e-12
53,0.0777105912566185,0.057942825748964595,,2.0280998431551003e-12
54,0.059603821486234665,0.05797302567146041,,2.0276898775510664e-12
55,0.038974106311798096,0.05763375925432358,,2.0272799119470328e-12
56,0.06516162306070328,0.057765827040400425,,2.026869946342999e-12
57,0.05591077357530594,0.05773384335996776,,2.026459980738965e-12
58,0.0489802323281765,0.05758547707129333,,2.0260500151349316e-12
59,0.061481401324272156,0.05765040914217631,,2.0256400495308976e-12
60,0.04737221822142601,0.05748191420904926,,2.025230083926864e-12
61,0.06418140232563019,0.05758997046899411,,2.02482011832283e-12
62,0.050906550139188766,0.05748388443201307,,2.0244101527187964e-12
63,0.049111563712358475,0.05735306692076847,,2.0240001871147624e-12
64,0.05304702743887901,0.05728682015950863,,2.023590221510729e-12
65,0.048251837491989136,0.057149926482728035,,2.023180255906695e-12
66,0.04952036216855049,0.05703605238848658,,2.0227702903026612e-12
67,0.04171682521700859,0.05681076963596484,,2.0223603246986276e-12
68,0.05255269631743431,0.056749058428449906,,2.0219503590945936e-12
69,0.07442165166139603,0.05700152404606342,,2.02154039349056e-12
70,0.05492379143834114,0.056972260206518036,,2.021130427886526e-12
71,0.05305704474449158,0.05691788221398989,,2.0207204622824925e-12
72,0.03653714805841446,0.056638694074872424,,2.0203104966784585e-12
73,0.08047869801521301,0.05696085629028243,,2.019900531074425e-12
74,0.05901312828063965,0.05698821991682053,,2.019490565470391e-12
75,0.030014801770448685,0.05663330652015774,,2.0190805998663573e-12
76,0.04875935614109039,0.056531047424325694,,2.0186706342623237e-12
77,0.05747281387448311,0.05654312135317387,,2.0182606686582897e-12
78,0.05419687181711197,0.05651342199195789,,2.017850703054256e-12
79,0.07881363481283188,0.05679217465221882,,2.017440737450222e-12
80,0.06103747338056564,0.05684458574763051,,2.0170307718461885e-12
81,0.05394826456904411,0.05680926475764775,,2.0166208062421545e-12
82,0.054514575749635696,0.05678161790212953,,2.016210840638121e-12
83,0.04528668150305748,0.0566447734211882,,2.015800875034087e-12
84,0.062120404094457626,0.0567091926055796,,2.0153909094300533e-12
85,0.05891146510839462,0.056734800425379775,,2.0149809438260193e-12
86,0.06725180149078369,0.056855685495097064,,2.0145709782219857e-12
87,0.029273588210344315,0.05654225257140669,,2.014161012617952e-12
88,0.06329703330993652,0.05661814898419916,,2.013751047013918e-12
89,0.06323326379060745,0.05669165025982592,,2.0133410814098846e-12
90,0.040432464331388474,0.05651297788698595,,2.0129311158058506e-12
91,0.061337634921073914,0.05656541981126951,,2.012521150201817e-12
92,0.04603639245033264,0.05645220446330245,,2.012111184597783e-12
93,0.059060659259557724,0.05647995398241155,,2.0117012189937494e-12
94,0.0777120515704155,0.0567034497464958,,2.0112912533897154e-12
95,0.05064649134874344,0.056640356429852545,,2.0108812877856818e-12
96,0.07563810795545578,0.05683620953836392,,2.010471322181648e-12
97,0.03851816803216934,0.056649290747484385,,2.0100613565776142e-12
98,0.04219165816903114,0.05650325405477273,,2.0096513909735806e-12
99,0.053751442581415176,0.05647573594003916,,2.0092414253695466e-12
100,0.06383638828992844,0.0566035209223628,,2.008831459765513e-12
101,0.07188256829977036,0.05680625174194574,,2.008421494161479e-12
102,0.052058205008506775,0.05650876183062792,,2.0080115285574454e-12
103,0.06577697396278381,0.05662362210452557,,2.0076015629534114e-12
104,0.06230644881725311,0.05667549889534712,,2.007191597349378e-12
105,0.05924475938081741,0.056836063787341115,,2.006781631745344e-12
106,0.07423477619886398,0.05683925583958626,,2.0063716661413103e-12
107,0.06975965946912766,0.05682396821677685,,2.0059617005372763e-12
108,0.07491260021924973,0.05696436684578657,,2.0055517349332427e-12
109,0.05871664732694626,0.056786687858402726,,2.005141769329209e-12
110,0.03583526611328125,0.05635374028235674,,2.004731803725175e-12
111,0.05209016054868698,0.05634602352976799,,2.0043218381211415e-12
112,0.06119775027036667,0.05640548389405012,,2.0039118725171075e-12
113,0.04853656888008118,0.05625800970941782,,2.003501906913074e-12
114,0.07441795617341995,0.056329051516950134,,2.00309194130904e-12
115,0.057606909424066544,0.056410532146692276,,2.0026819757050063e-12
116,0.04542503505945206,0.05619197785854339,,2.0022720101009723e-12
117,0.062071043998003006,0.056088206134736536,,2.0018620444969387e-12
118,0.09074696898460388,0.05634156558662653,,2.0014520788929047e-12
119,0.04618655517697334,0.05635907161980867,,2.001042113288871e-12
120,0.05658956617116928,0.05646731276065111,,2.0006321476848375e-12
121,0.0337054505944252,0.055995422042906286,,2.0002221820808035e-12
122,0.08372664451599121,0.056274045817554,,1.99981221647677e-12
123,0.07407810539007187,0.056394163854420185,,1.999402250872736e-12
124,0.054147448390722275,0.056548532545566556,,1.9989922852687024e-12
125,0.0662795901298523,0.05650886982679367,,1.9985823196646684e-12
126,0.07940381020307541,0.05672911778092384,,1.9981723540606348e-12
127,0.04785463213920593,0.05666418429464102,,1.9977623884566008e-12
128,0.04930821433663368,0.05657830145210028,,1.9973524228525668e-12
